# topic=package-update-19-close-incident
# time=2026-09-12T17:47:41+00:00
$ uname -a
Linux localhost 6.18.35 #1 SMP Mon Aug 31 18:10:37 UTC 2026 x86_64 GNU/Linux
$ id
uid=0(root) gid=0(root) groups=0(root)
$ dpkg-query -W
adduser	3.152
libmpfr6:amd64	4.2.2-1
libmpg123-0t64:amd64	1.32.10-1
libmplex2-2.1-0t64:amd64	1:2.1.0+debian-8.1+b1
libmspub-0.1-1:amd64	0.1.4-3+b5
libmtdev1t64:amd64	1.1.7-1
libmwaw-0.3-3:amd64	0.3.22-1+b2
libmysofa1:amd64	1.3.3+dfsg-1
libmythes-1.2-0:amd64	2:1.2.5-1+b2
libncurses6:amd64	6.5+20250216-2
libncursesw6:amd64	6.5+20250216-2
libneon27t64:amd64	0.34.2-1
libnetcdf-dev	1:4.9.3-1
libnetcdf22:amd64	1:4.9.3-1
libnettle8t64:amd64	3.10.1-1
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp2-dev:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libnghttp3-dev:amd64	1.8.0-1
libngtcp2-16:amd64	1.11.0-1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1
libnice10:amd64	0.1.22-1
libnorm1t64:amd64	1.5.9+dfsg-3.1+b2
libnpth0t64:amd64	1.8-3
libnspr4:amd64	2:4.36-1
libnss3:amd64	2:3.110-1
libnss3-tools	2:3.110-1
libnuma1:amd64	2.0.19-1
libnumbertext-1.0-0:amd64	1.0.11-4+b2
libnumbertext-data	1.0.11-4
libobrender32v5	3.6.1-12+b2
libobt2v5:amd64	3.6.1-12+b2
libodbc2:amd64	2.3.12-2
libodbccr2:amd64	2.3.12-2
